gene ID,gene name,Subject sequence ID,% of identical matches,Alignment length,Mistmatches,Gap openings,Start of alignment query,End of alignment query,Start of alignment subject ,End of alignment subject,E-value,Bit score,Protein annotations
gene3433,LOC106914392,sp|P05787|K2C8_HUMAN,81.82,55,10,0,8198,8362,231,285,2.00E-30,89.7,"Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7"
gene3434,LOC106914393,sp|P13647|K2C5_HUMAN,48.82,127,28,2,1702,2076,186,277,2.00E-84,115,"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3"
gene3435,LOC106914394,sp|Q96N03|VTM2L_HUMAN,71.74,46,13,0,8041,8178,41,86,5.00E-17,82.4,V-set and transmembrane domain-containing protein 2-like protein OS=Homo sapiens GN=VSTM2L PE=1 SV=1
gene3436,tgm2,sp|O95932|TGM3L_HUMAN,54.22,83,37,1,8617,8862,365,447,2.00E-64,94.7,Protein-glutamine gamma-glutamyltransferase 6 OS=Homo sapiens GN=TGM6 PE=1 SV=3
gene3437,LOC106914396,sp|Q5JYT7|K1755_HUMAN,49.25,134,66,2,18093,18491,68,200,4.00E-31,137,Uncharacterized protein KIAA1755 OS=Homo sapiens GN=KIAA1755 PE=2 SV=2
gene3438,LOC106914397,sp|Q9Y2H0|DLGP4_HUMAN,39.9,406,163,17,101302,102492,1,334,2.00E-44,181,Disks large-associated protein 4 OS=Homo sapiens GN=DLGAP4 PE=1 SV=3
gene3439,LOC106914398,sp|Q9GZN2|TGIF2_HUMAN,78.43,51,11,0,2509,2661,15,65,6.00E-19,87.8,Homeobox protein TGIF2 OS=Homo sapiens GN=TGIF2 PE=1 SV=1
gene344,LOC106914353,sp|E9PQ53|NDUCR_HUMAN,48.08,52,27,0,622,777,52,103,6.00E-07,47.8,"NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2 OS=Homo sapiens GN=NDUFC2-KCTD14 PE=1 SV=1"
gene3440,LOC106914399,sp|P24844|MYL9_HUMAN,73.76,141,7,1,6455,6877,62,172,4.00E-61,207,Myosin regulatory light polypeptide 9 OS=Homo sapiens GN=MYL9 PE=1 SV=4
gene3441,LOC106914400,sp|Q9BQK8|LPIN3_HUMAN,63.39,112,13,1,4427,4762,1,84,2.00E-32,138,Phosphatidate phosphatase LPIN3 OS=Homo sapiens GN=LPIN3 PE=1 SV=3
gene3442,LOC106914403,sp|P19474|RO52_HUMAN,26.02,488,296,19,3868,5301,1,433,2.00E-26,115,E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens GN=TRIM21 PE=1 SV=1
gene3443,tpra1,sp|Q86W33|TPRA1_HUMAN,47.3,148,16,2,4962,5405,140,225,2.00E-28,119,Transmembrane protein adipocyte-associated 1 OS=Homo sapiens GN=TPRA1 PE=2 SV=1
gene3444,chchd6,sp|Q9NX63|MIC19_HUMAN,58.97,39,16,0,37377,37493,182,220,3.00E-06,53.1,MICOS complex subunit MIC19 OS=Homo sapiens GN=CHCHD3 PE=1 SV=1
gene3448,LOC106914410,sp|O75052|CAPON_HUMAN,40.41,193,60,6,35739,36317,369,506,5.00E-15,84,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein OS=Homo sapiens GN=NOS1AP PE=1 SV=3
gene3449,eef1d,sp|P24534|EF1B_HUMAN,79.22,77,15,1,8918,9148,141,216,4.00E-33,129,Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3
gene345,LOC106914346,sp|Q9NPA3|M1IP1_HUMAN,27.78,180,85,4,135,539,1,180,3.00E-16,73.2,Mid1-interacting protein 1 OS=Homo sapiens GN=MID1IP1 PE=1 SV=1
gene3450,pycrl,sp|Q53H96|P5CR3_HUMAN,44.64,168,59,1,1823,2326,51,184,1.00E-32,127,Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens GN=PYCRL PE=1 SV=3
gene3451,LOC106914413,sp|Q9H0W7|THAP2_HUMAN,46.03,63,34,0,764,952,24,86,3.00E-10,61.2,THAP domain-containing protein 2 OS=Homo sapiens GN=THAP2 PE=1 SV=1
gene3453,tsta3,sp|Q13630|FCL_HUMAN,48.8,125,22,2,2153,2491,109,203,5.00E-50,115,GDP-L-fucose synthase OS=Homo sapiens GN=TSTA3 PE=1 SV=1
gene3454,LOC106914416,sp|P30740|ILEU_HUMAN,58.82,136,54,2,2905,3309,245,379,2.00E-70,135,Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1
gene3455,LOC106914417,sp|Q86YV6|MYLK4_HUMAN,49.7,167,31,4,26620,27120,183,296,8.00E-49,153,Myosin light chain kinase family member 4 OS=Homo sapiens GN=MYLK4 PE=1 SV=2
gene3456,gmds,sp|O60547|GMDS_HUMAN,91.18,68,6,0,44785,44988,115,182,1.00E-31,133,"GDP-mannose 4,6 dehydratase OS=Homo sapiens GN=GMDS PE=1 SV=1"
gene3457,foxc1,sp|Q12948|FOXC1_HUMAN,57.01,556,149,17,361,1767,1,553,2.00E-161,483,Forkhead box protein C1 OS=Homo sapiens GN=FOXC1 PE=1 SV=3
gene3458,foxf2,sp|Q12947|FOXF2_HUMAN,68.65,303,61,7,322,1140,95,393,1.00E-80,272,Forkhead box protein F2 OS=Homo sapiens GN=FOXF2 PE=1 SV=2
gene3459,foxq1,sp|Q9C009|FOXQ1_HUMAN,49.41,340,84,13,136,912,1,333,2.00E-70,231,Forkhead box protein Q1 OS=Homo sapiens GN=FOXQ1 PE=2 SV=2
gene346,LOC106914340,sp|P43080|GUC1A_HUMAN,64.29,56,20,0,657,824,67,122,6.00E-17,79.7,Guanylyl cyclase-activating protein 1 OS=Homo sapiens GN=GUCA1A PE=1 SV=3
gene3461,exoc2,sp|Q96KP1|EXOC2_HUMAN,94.12,51,3,0,30830,30982,249,299,2.00E-19,98.6,Exocyst complex component 2 OS=Homo sapiens GN=EXOC2 PE=1 SV=1
gene3462,irf4,sp|Q15306|IRF4_HUMAN,91.18,68,6,0,1058,1261,68,135,4.00E-32,132,Interferon regulatory factor 4 OS=Homo sapiens GN=IRF4 PE=1 SV=1
gene3463,dusp22,sp|Q9NRW4|DUS22_HUMAN,61.22,49,19,0,9955,10101,97,145,3.00E-12,68.2,Dual specificity protein phosphatase 22 OS=Homo sapiens GN=DUSP22 PE=1 SV=1
gene3464,bphl,sp|Q86WA6|BPHL_HUMAN,55.83,120,24,1,1437,1796,37,127,5.00E-33,130,Valacyclovir hydrolase OS=Homo sapiens GN=BPHL PE=1 SV=1
gene3465,psmg4,sp|Q5JS54|PSMG4_HUMAN,58.82,51,21,0,348,500,10,60,3.00E-15,72.8,Proteasome assembly chaperone 4 OS=Homo sapiens GN=PSMG4 PE=2 SV=2
gene3466,slc22a23,sp|A1A5C7|S22AN_HUMAN,69.05,84,23,2,16213,16455,583,666,4.00E-16,85.9,Solute carrier family 22 member 23 OS=Homo sapiens GN=SLC22A23 PE=1 SV=2
gene3467,LOC106914406,sp|P15924|DESP_HUMAN,34.51,910,480,15,17505,19937,1806,2698,2.00E-117,421,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3
gene3468,LOC106914429,sp|P15924|DESP_HUMAN,56.41,601,257,3,2182,3969,1961,2561,1.00E-99,672,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3
gene3469,tbc1d7,sp|Q9P0N9|TBCD7_HUMAN,71.43,49,14,0,5584,5730,174,222,4.00E-15,78.6,TBC1 domain family member 7 OS=Homo sapiens GN=TBC1D7 PE=1 SV=1
gene3470,phactr1,sp|Q9C0D0|PHAR1_HUMAN,74.19,62,16,0,23190,23375,503,564,4.00E-19,95.5,Phosphatase and actin regulator 1 OS=Homo sapiens GN=PHACTR1 PE=2 SV=3
gene3473,sirt5,sp|Q9NXA8|SIR5_HUMAN,84.42,77,12,0,2424,2654,83,159,6.00E-36,139,"NAD-dependent protein deacylase sirtuin-5, mitochondrial OS=Homo sapiens GN=SIRT5 PE=1 SV=2"
gene3474,LOC106914433,sp|Q08828|ADCY1_HUMAN,51.89,185,83,2,88,624,32,216,4.00E-31,137,Adenylate cyclase type 1 OS=Homo sapiens GN=ADCY1 PE=1 SV=2
gene3475,LOC106914434,sp|P22692|IBP4_HUMAN,56.47,85,34,2,389,640,18,100,4.00E-09,58.9,Insulin-like growth factor-binding protein 4 OS=Homo sapiens GN=IGFBP4 PE=1 SV=2
gene3476,igfbp6,sp|P17936|IBP3_HUMAN,66,100,32,1,183,476,31,130,2.00E-32,130,Insulin-like growth factor-binding protein 3 OS=Homo sapiens GN=IGFBP3 PE=1 SV=2
gene3478,LOC106914439,sp|Q96EL3|RM53_HUMAN,56.82,44,17,1,1224,1355,31,72,3.00E-08,52.8,"39S ribosomal protein L53, mitochondrial OS=Homo sapiens GN=MRPL53 PE=1 SV=1"
gene3479,LOC106914438,sp|P05413|FABPH_HUMAN,48.57,70,34,2,352,561,21,88,2.00E-27,66.6,"Fatty acid-binding protein, heart OS=Homo sapiens GN=FABP3 PE=1 SV=4"
gene3480,fam8a1,sp|Q9UBU6|FA8A1_HUMAN,67.24,58,17,1,3130,3303,310,365,6.00E-16,82,Protein FAM8A1 OS=Homo sapiens GN=FAM8A1 PE=1 SV=1
gene3483,atxn1,sp|P54253|ATX1_HUMAN,54.19,203,64,4,100313,100915,640,815,1.00E-54,211,Ataxin-1 OS=Homo sapiens GN=ATXN1 PE=1 SV=2
gene3484,gmpr,sp|P36959|GMPR1_HUMAN,53.42,146,32,2,4279,4716,74,183,6.00E-34,135,GMP reductase 1 OS=Homo sapiens GN=GMPR PE=1 SV=1
gene3485,mylip,sp|Q8WY64|MYLIP_HUMAN,70.55,146,38,2,16023,16454,274,416,5.00E-47,177,E3 ubiquitin-protein ligase MYLIP OS=Homo sapiens GN=MYLIP PE=1 SV=2
gene3487,dtnbp1,sp|Q96EV8|DTBP1_HUMAN,71.67,60,13,1,34305,34484,223,278,1.00E-16,86.3,Dysbindin OS=Homo sapiens GN=DTNBP1 PE=1 SV=1
gene3489,jarid2,sp|Q92833|JARD2_HUMAN,68.75,112,26,1,104888,105223,550,652,1.00E-44,182,Protein Jumonji OS=Homo sapiens GN=JARID2 PE=1 SV=2
gene3491,LOC106914450,sp|Q9BYG5|PAR6B_HUMAN,73.75,160,39,1,30817,31287,88,247,9.00E-71,244,Partitioning defective 6 homolog beta OS=Homo sapiens GN=PARD6B PE=1 SV=1
gene3492,LOC106914454,sp|Q9NUP1|BL1S4_HUMAN,61.7,47,18,0,3195,3335,138,184,4.00E-11,64.3,Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Homo sapiens GN=BLOC1S4 PE=1 SV=1
gene3493,LOC106914456,sp|P61970|NTF2_HUMAN,63.89,36,13,0,2445,2552,90,125,1.00E-09,57.4,Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1
gene3494,LOC106914452,sp|P31350|RIR2_HUMAN,89.36,47,5,0,3362,3502,220,266,2.00E-29,90.9,Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens GN=RRM2 PE=1 SV=1
gene3495,LOC106914451,sp|Q86UE4|LYRIC_HUMAN,39.13,69,37,1,2782,2973,189,257,3.00E-04,46.2,Protein LYRIC OS=Homo sapiens GN=MTDH PE=1 SV=2
gene3496,LOC106914455,sp|Q86VI4|LAP4B_HUMAN,78.38,37,8,0,4963,5073,240,276,1.00E-18,69.3,Lysosomal-associated transmembrane protein 4B OS=Homo sapiens GN=LAPTM4B PE=1 SV=1
gene3497,LOC106914457,sp|Q9NZK5|CECR1_HUMAN,72,75,19,1,37272,37490,407,481,4.00E-42,117,Adenosine deaminase CECR1 OS=Homo sapiens GN=CECR1 PE=1 SV=2
gene3498,LOC106914460,sp|P36543|VATE1_HUMAN,86.67,30,4,0,5567,5656,178,207,1.00E-12,55.5,V-type proton ATPase subunit E 1 OS=Homo sapiens GN=ATP6V1E1 PE=1 SV=1
gene3499,LOC106914458,sp|Q9BXK5|B2L13_HUMAN,50,66,21,5,5976,6155,251,310,2.00E-04,46.2,Bcl-2-like protein 13 OS=Homo sapiens GN=BCL2L13 PE=1 SV=1
gene35,pctp,sp|Q9UKL6|PPCT_HUMAN,57.89,57,24,0,3153,3323,114,170,2.00E-20,68.6,Phosphatidylcholine transfer protein OS=Homo sapiens GN=PCTP PE=1 SV=1
gene350,LOC106914372,sp|Q92847|GHSR_HUMAN,45.59,272,136,4,1491,2306,6,265,5.00E-75,254,Growth hormone secretagogue receptor type 1 OS=Homo sapiens GN=GHSR PE=1 SV=1
gene3500,LOC106914466,sp|Q8N5J4|SPIC_HUMAN,73.68,95,25,0,2381,2665,107,201,9.00E-42,153,Transcription factor Spi-C OS=Homo sapiens GN=SPIC PE=2 SV=1
gene3501,LOC106914468,sp|Q8N5J4|SPIC_HUMAN,73.68,95,25,0,25397,25681,107,201,8.00E-41,153,Transcription factor Spi-C OS=Homo sapiens GN=SPIC PE=2 SV=1
gene3502,LOC106914467,sp|Q8N5J4|SPIC_HUMAN,55.91,93,41,0,514,792,109,201,2.00E-32,119,Transcription factor Spi-C OS=Homo sapiens GN=SPIC PE=2 SV=1
gene3504,mybpc1,sp|Q00872|MYPC1_HUMAN,75,56,14,0,30039,30206,977,1032,1.00E-93,96.7,"Myosin-binding protein C, slow-type OS=Homo sapiens GN=MYBPC1 PE=1 SV=2"
gene3505,chpt1,sp|Q8WUD6|CHPT1_HUMAN,60.66,61,24,0,5234,5416,262,322,4.00E-26,79.3,Cholinephosphotransferase 1 OS=Homo sapiens GN=CHPT1 PE=1 SV=1
gene3506,gnptab,sp|Q3T906|GNPTA_HUMAN,58.12,191,29,2,20515,21087,973,1112,4.00E-54,211,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta OS=Homo sapiens GN=GNPTAB PE=1 SV=1
gene3507,dram1,sp|Q8N682|DRAM1_HUMAN,37.61,109,39,1,2098,2424,114,193,3.00E-12,68.2,DNA damage-regulated autophagy modulator protein 1 OS=Homo sapiens GN=DRAM1 PE=1 SV=1
gene3508,ccdc53,sp|Q9Y3C0|CCD53_HUMAN,38.6,114,12,2,2129,2470,126,181,1.00E-12,68.2,WASH complex subunit CCDC53 OS=Homo sapiens GN=CCDC53 PE=1 SV=1
gene3509,LOC106914472,sp|Q14585|ZN345_HUMAN,40.25,400,231,5,4289,5485,56,448,3.00E-91,306,Zinc finger protein 345 OS=Homo sapiens GN=ZNF345 PE=2 SV=1
gene351,fndc3a,sp|Q9Y2H6|FND3A_HUMAN,40.66,91,22,1,39667,39939,392,450,5.00E-33,70.5,Fibronectin type-III domain-containing protein 3A OS=Homo sapiens GN=FNDC3A PE=1 SV=4
gene3510,LOC106914459,sp|P41732|TSN7_HUMAN,31.1,254,160,2,650,1411,11,249,8.00E-37,137,Tetraspanin-7 OS=Homo sapiens GN=TSPAN7 PE=1 SV=2
gene3511,LOC106914474,sp|Q9H4E7|DEFI6_HUMAN,58.49,53,22,0,4636,4794,218,270,1.00E-37,75.5,Differentially expressed in FDCP 6 homolog OS=Homo sapiens GN=DEF6 PE=1 SV=1
gene3512,mcat,sp|Q8IVS2|FABD_HUMAN,54.11,146,43,1,1336,1773,171,292,4.00E-49,160,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial OS=Homo sapiens GN=MCAT PE=1 SV=2"
gene3513,ttll1,sp|O95922|TTLL1_HUMAN,83.56,73,12,0,1600,1818,39,111,8.00E-80,132,Probable tubulin polyglutamylase TTLL1 OS=Homo sapiens GN=TTLL1 PE=2 SV=1
gene3516,pacsin2,sp|Q9UNF0|PACN2_HUMAN,73.75,80,21,0,10668,10907,73,152,5.00E-33,137,Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens GN=PACSIN2 PE=1 SV=2
gene3517,LOC106914479,sp|Q9UNF0|PACN2_HUMAN,73.75,80,21,0,4234,4473,73,152,2.00E-33,137,Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens GN=PACSIN2 PE=1 SV=2
gene3518,arfgap3,sp|Q9NP61|ARFG3_HUMAN,72.73,44,12,0,1568,1699,89,132,6.00E-24,74.7,ADP-ribosylation factor GTPase-activating protein 3 OS=Homo sapiens GN=ARFGAP3 PE=1 SV=1
gene3519,ikbip,sp|Q70UQ0|IKIP_HUMAN,43.65,181,102,0,5466,6008,170,350,4.00E-42,159,Inhibitor of nuclear factor kappa-B kinase-interacting protein OS=Homo sapiens GN=IKBIP PE=1 SV=1
gene352,LOC106914402,sp|O95199|RCBT2_HUMAN,80,55,11,0,4424,4588,172,226,5.00E-41,96.7,RCC1 and BTB domain-containing protein 2 OS=Homo sapiens GN=RCBTB2 PE=1 SV=1
gene3520,ckap4,sp|Q07065|CKAP4_HUMAN,29.95,364,233,5,2576,3634,161,513,6.00E-24,108,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2
gene3521,uhrf1bp1l,sp|A0JNW5|UH1BL_HUMAN,48.19,249,121,3,17522,18262,578,820,2.00E-58,226,UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2
gene3522,anks1b,sp|Q7Z6G8|ANS1B_HUMAN,70.15,134,11,2,208663,209064,1122,1226,4.00E-45,185,Ankyrin repeat and sterile alpha motif domain-containing protein 1B OS=Homo sapiens GN=ANKS1B PE=1 SV=2
gene3529,zbtb25,sp|P24278|ZBT25_HUMAN,30.12,405,218,10,2970,4070,58,435,1.00E-32,133,Zinc finger and BTB domain-containing protein 25 OS=Homo sapiens GN=ZBTB25 PE=1 SV=2
gene353,LOC106914412,sp|P43657|LPAR6_HUMAN,63.93,341,115,4,776,1789,8,343,9.00E-149,440,Lysophosphatidic acid receptor 6 OS=Homo sapiens GN=LPAR6 PE=1 SV=3
gene3530,LOC106914495,sp|P24278|ZBT25_HUMAN,30.12,405,218,10,2892,3992,58,435,1.00E-32,133,Zinc finger and BTB domain-containing protein 25 OS=Homo sapiens GN=ZBTB25 PE=1 SV=2
gene3532,zbtb1,sp|Q9Y2K1|ZBTB1_HUMAN,46.42,741,306,15,2675,4711,1,712,1.00E-99,586,Zinc finger and BTB domain-containing protein 1 OS=Homo sapiens GN=ZBTB1 PE=1 SV=3
gene3533,LOC106914503,sp|Q7Z5L3|C1QL2_HUMAN,35.11,94,56,4,534,800,193,286,7.00E-09,43.5,Complement C1q-like protein 2 OS=Homo sapiens GN=C1QL2 PE=2 SV=2
gene3534,LOC106914498,sp|P13533|MYH6_HUMAN,83.34,1927,318,1,200,5971,1,1927,1.00E-99,2972,Myosin-6 OS=Homo sapiens GN=MYH6 PE=1 SV=5
gene3535,LOC106914500,sp|Q9NQU5|PAK6_HUMAN,60.83,120,23,1,12354,12713,448,543,1.00E-33,141,Serine/threonine-protein kinase PAK 6 OS=Homo sapiens GN=PAK6 PE=1 SV=1
gene3536,LOC106914501,sp|O43683|BUB1_HUMAN,33.73,83,53,1,6072,6320,186,266,5.00E-04,46.2,Mitotic checkpoint serine/threonine-protein kinase BUB1 OS=Homo sapiens GN=BUB1 PE=1 SV=1
gene3537,LOC106914502,sp|O43278|SPIT1_HUMAN,57.89,57,24,0,6762,6932,249,305,1.00E-13,77,Kunitz-type protease inhibitor 1 OS=Homo sapiens GN=SPINT1 PE=1 SV=2
gene3538,plekhg3,sp|A1L390|PKHG3_HUMAN,76.92,65,15,0,21329,21523,282,346,1.00E-28,113,Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens GN=PLEKHG3 PE=1 SV=1
gene3539,LOC106914507,sp|Q27J81|INF2_HUMAN,70.33,91,26,1,3269,3541,42,131,4.00E-30,132,Inverted formin-2 OS=Homo sapiens GN=INF2 PE=1 SV=2
gene354,nek3,sp|P51956|NEK3_HUMAN,55.88,68,30,0,4806,5009,202,269,2.00E-16,85.5,Serine/threonine-protein kinase Nek3 OS=Homo sapiens GN=NEK3 PE=1 SV=2
gene3540,LOC106914505,sp|Q9Y4F5|C170B_HUMAN,46.08,217,87,7,3721,4362,164,353,4.00E-37,155,Centrosomal protein of 170 kDa protein B OS=Homo sapiens GN=CEP170B PE=1 SV=4
gene3541,LOC106914508,sp|Q53QV2|LBH_HUMAN,56.52,46,17,2,3474,3605,43,87,3.00E-07,49.7,Protein LBH OS=Homo sapiens GN=LBH PE=1 SV=1
gene3542,LOC106914491,sp|O60645|EXOC3_HUMAN,24.75,202,120,5,3271,3870,196,367,5.00E-08,60.1,Exocyst complex component 3 OS=Homo sapiens GN=EXOC3 PE=1 SV=2
gene3543,LOC106914492,sp|P27448|MARK3_HUMAN,69.57,161,18,2,10100,10582,624,753,5.00E-60,223,MAP/microtubule affinity-regulating kinase 3 OS=Homo sapiens GN=MARK3 PE=1 SV=4
gene3544,LOC106914509,sp|P12277|KCRB_HUMAN,67.88,137,18,1,7439,7849,219,329,2.00E-52,190,Creatine kinase B-type OS=Homo sapiens GN=CKB PE=1 SV=1
gene3546,LOC106914510,sp|P23942|PRPH2_HUMAN,48.97,194,99,0,414,995,1,194,4.00E-59,208,Peripherin-2 OS=Homo sapiens GN=PRPH2 PE=1 SV=1
gene3548,LOC106914514,sp|Q7RTR2|NLRC3_HUMAN,32.25,614,364,19,2072,3841,64,649,2.00E-70,259,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2
gene3549,LOC106914517,sp|Q9Y5S2|MRCKB_HUMAN,86,50,7,0,7354,7503,150,199,3.00E-60,96.3,Serine/threonine-protein kinase MRCK beta OS=Homo sapiens GN=CDC42BPB PE=1 SV=2
gene355,lhfp,sp|Q9Y693|LHFP_HUMAN,82.95,129,22,0,2532,2918,1,129,7.00E-42,156,Lipoma HMGIC fusion partner OS=Homo sapiens GN=LHFP PE=2 SV=1
gene3550,LOC106914515,sp|Q9Y5S2|MRCKB_HUMAN,59.26,108,19,1,5932,6255,1022,1104,6.00E-67,130,Serine/threonine-protein kinase MRCK beta OS=Homo sapiens GN=CDC42BPB PE=1 SV=2
gene3551,LOC106914516,sp|Q9UNW8|GP132_HUMAN,41.93,322,169,5,8699,9658,16,321,6.00E-50,183,Probable G-protein coupled receptor 132 OS=Homo sapiens GN=GPR132 PE=1 SV=1
gene3552,vipas39,sp|Q9H9C1|SPE39_HUMAN,40.35,171,51,2,4459,4971,304,423,1.00E-26,116,Spermatogenesis-defective protein 39 homolog OS=Homo sapiens GN=VIPAS39 PE=1 SV=1
gene3553,ahsa1,sp|O95433|AHSA1_HUMAN,47.12,104,30,1,585,896,28,106,1.00E-28,101,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1
gene3554,hivep2,sp|P31629|ZEP2_HUMAN,41.74,690,267,27,81575,83341,310,965,5.00E-80,300,Transcription factor HIVEP2 OS=Homo sapiens GN=HIVEP2 PE=1 SV=2
gene3555,aig1,sp|Q9NVV5|AIG1_HUMAN,60,50,20,0,17146,17295,174,223,2.00E-25,71.2,Androgen-induced gene 1 protein OS=Homo sapiens GN=AIG1 PE=1 SV=2
gene3556,adat2,sp|Q7Z6V5|ADAT2_HUMAN,67.86,56,18,0,821,988,64,119,1.00E-26,82.4,tRNA-specific adenosine deaminase 2 OS=Homo sapiens GN=ADAT2 PE=1 SV=1
gene3557,pex3,sp|P56589|PEX3_HUMAN,80.43,46,9,0,919,1056,23,68,4.00E-17,84.7,Peroxisomal biogenesis factor 3 OS=Homo sapiens GN=PEX3 PE=1 SV=1
gene356,cog6,sp|Q9Y2V7|COG6_HUMAN,87.04,54,7,0,20360,20521,476,529,4.00E-22,105,Conserved oligomeric Golgi complex subunit 6 OS=Homo sapiens GN=COG6 PE=1 SV=2
gene3563,atf3,sp|P18847|ATF3_HUMAN,47.71,153,48,3,1232,1687,1,122,6.00E-21,91.3,Cyclic AMP-dependent transcription factor ATF-3 OS=Homo sapiens GN=ATF3 PE=1 SV=2
gene3564,LOC106914533,sp|Q16520|BATF_HUMAN,74.19,31,8,0,863,955,25,55,4.00E-07,49.7,Basic leucine zipper transcriptional factor ATF-like OS=Homo sapiens GN=BATF PE=1 SV=1
gene3566,LOC106914531,sp|Q17R31|TATD3_HUMAN,46.51,43,23,0,3622,3750,163,205,7.00E-15,52,Putative deoxyribonuclease TATDN3 OS=Homo sapiens GN=TATDN3 PE=1 SV=1
gene3568,LOC106914536,sp|Q9Y5Y0|FLVC1_HUMAN,55.88,238,94,3,509,1204,18,250,4.00E-57,210,Feline leukemia virus subgroup C receptor-related protein 1 OS=Homo sapiens GN=FLVCR1 PE=1 SV=1
gene3569,txlnb,sp|Q8N3L3|TXLNB_HUMAN,59.68,62,25,0,2749,2934,228,289,1.00E-07,57.8,Beta-taxilin OS=Homo sapiens GN=TXLNB PE=1 SV=3
gene357,LOC106914462,sp|Q12778|FOXO1_HUMAN,42.62,244,123,6,32704,33411,421,655,7.00E-41,164,Forkhead box protein O1 OS=Homo sapiens GN=FOXO1 PE=1 SV=2
gene3570,LOC106914539,sp|Q9NYA1|SPHK1_HUMAN,41.43,280,98,3,5688,6521,149,364,4.00E-56,201,Sphingosine kinase 1 OS=Homo sapiens GN=SPHK1 PE=1 SV=1
gene3572,fam83g,sp|A6ND36|FA83G_HUMAN,56.57,175,53,3,208,663,1,175,1.00E-39,162,Protein FAM83G OS=Homo sapiens GN=FAM83G PE=1 SV=2
gene3573,grap,sp|Q13588|GRAP_HUMAN,58.49,53,22,0,18104,18262,100,152,7.00E-14,75.1,GRB2-related adapter protein OS=Homo sapiens GN=GRAP PE=1 SV=1
gene3574,epn2,sp|O95208|EPN2_HUMAN,90.78,141,13,0,11238,11660,4,144,1.00E-80,282,Epsin-2 OS=Homo sapiens GN=EPN2 PE=1 SV=3
gene3575,b9d1,sp|Q9UPM9|B9D1_HUMAN,81.25,32,6,0,1070,1165,83,114,2.00E-10,61.2,B9 domain-containing protein 1 OS=Homo sapiens GN=B9D1 PE=2 SV=1
gene3577,LOC106914544,sp|O95180|CAC1H_HUMAN,67.83,143,16,1,103650,104078,817,929,9.00E-33,145,Voltage-dependent T-type calcium channel subunit alpha-1H OS=Homo sapiens GN=CACNA1H PE=1 SV=4
gene3578,grin2a,sp|Q12879|NMDE1_HUMAN,47.32,672,266,33,162898,164865,865,1464,2.00E-139,481,"Glutamate receptor ionotropic, NMDA 2A OS=Homo sapiens GN=GRIN2A PE=1 SV=1"
gene358,slc25a15,sp|Q9Y619|ORNT1_HUMAN,61.11,54,21,0,3006,3167,208,261,1.00E-42,82.4,Mitochondrial ornithine transporter 1 OS=Homo sapiens GN=SLC25A15 PE=1 SV=1
gene3580,LOC106914552,sp|Q9NZ01|TECR_HUMAN,68.57,35,11,0,9021,9125,56,90,6.00E-16,58.5,Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1
gene3581,LOC106914551,sp|P78363|ABCA4_HUMAN,56.58,152,42,1,23757,24212,518,645,2.00E-65,187,Retinal-specific ATP-binding cassette transporter OS=Homo sapiens GN=ABCA4 PE=1 SV=3
gene3582,LOC106914553,sp|Q92619|HMHA1_HUMAN,78.18,55,12,0,35363,35527,793,847,1.00E-28,91.7,Minor histocompatibility protein HA-1 OS=Homo sapiens GN=HMHA1 PE=1 SV=2
gene3583,prkdc,sp|P78527|PRKDC_HUMAN,58.39,137,29,1,10152,10562,871,979,1.00E-91,158,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3
gene3584,garem1,sp|Q9H706|GAREM_HUMAN,65.47,417,114,7,3367,4584,126,523,1.00E-152,498,GRB2-associated and regulator of MAPK protein OS=Homo sapiens GN=GAREM PE=1 SV=2
